id,fecha,hora,zona,tipo_zona,lat,lng,decibeles,trafico,temperatura,humedad,comentario
43,2025-03-06,11,Zona Industrial,Industrial,20.645,-103.32,95.2,70,24.6,81.1,Mucho ruido
44,2025-04-10,18,Tlaquepaque Centro,Comercial,20.642,-103.312,98.2,90,24.2,54.7,Poco tráfico
45,2025-04-13,11,Chapalita,Residencial,20.658,-103.402,44.7,35,25.5,56,Música alta
46,2025-04-17,20,Centro,Comercial,20.6737,-103.344,76.1,52,22.3,57,Poco tráfico
47,2025-04-04,19,Americana,Mixta,20.6666,-103.381,88.4,89,21,65.2,Ruido por construcción
48,2025-06-21,3,Americana,Mixta,20.6666,-103.381,30.9,29,21.4,58.1,Mucho tráfico
49,2025-05-08,22,Chapalita,Residencial,20.658,-103.402,52,45,21.2,69.3,Poco tráfico
50,2025-05-02,15,Chapalita,Residencial,20.658,-103.402,52.9,26,29.9,49.4,Poco tráfico
51,2025-07-03,16,Zona Industrial,Industrial,20.645,-103.32,90.6,58,27,51.4,Zona tranquila
52,2025-03-10,11,Centro,Comercial,20.6737,-103.344,73.7,74,24.5,55,Muchos camiones
53,2025-02-21,1,Americana,Mixta,20.6666,-103.381,35.9,43,17.3,56.2,Mercado cercano
54,2025-03-13,4,Providencia,Residencial,20.6612,-103.389,30.5,15,15.5,40.2,Música alta
55,2025-07-25,18,Americana,Mixta,20.6666,-103.381,90.4,77,21.5,66.2,Obras en la zona
56,2025-05-01,12,Zona Industrial,Industrial,20.645,-103.32,82.9,48,28.7,59,Mucho ruido
57,2025-04-01,6,Americana,Mixta,20.6666,-103.381,73.8,60,24.4,38.6,Mucho ruido
58,2025-02-16,23,Centro,Comercial,20.6737,-103.344,68.7,64,23.5,49.5,Muchos camiones
59,2025-05-27,4,Tlaquepaque Centro,Comercial,20.642,-103.312,43.4,34,16.1,31.7,Obras en la zona
60,2025-05-05,6,Zona Industrial,Industrial,20.645,-103.32,89.6,51,23.7,58.5,Poco tráfico
61,2025-02-06,15,Zona Industrial,Industrial,20.645,-103.32,86.3,65,28.1,70.7,Ruido por construcción
62,2025-04-27,11,Chapalita,Residencial,20.658,-103.402,48.3,25,22.5,48.9,Zona ruidosa
63,2025-04-27,10,Chapalita,Residencial,20.658,-103.402,42.7,14,20.9,52.4,Obras en la zona
64,2025-03-11,18,Tlaquepaque Centro,Comercial,20.642,-103.312,99.1,78,23,50.4,Sin incidencias
65,2025-07-09,5,Chapalita,Residencial,20.658,-103.402,32.5,15,15.8,64.8,Poco tráfico
66,2025-05-29,23,Chapalita,Residencial,20.658,-103.402,51.2,20,25.1,51.7,Tráfico intenso
67,2025-03-22,11,Centro,Comercial,20.6737,-103.344,71.2,60,28.3,89.2,Obras en la zona
68,2025-03-06,12,Chapalita,Residencial,20.658,-103.402,46.9,31,31.8,50.9,Zona tranquila
69,2025-02-04,5,Zona Industrial,Industrial,20.645,-103.32,32.4,17,17.1,68.8,Ruido por construcción
70,2025-02-13,9,Chapalita,Residencial,20.658,-103.402,62.9,42,25.5,69,Ruido por construcción
71,2025-04-10,7,Zona Industrial,Industrial,20.645,-103.32,115,72,25.5,49.8,Mercado cercano
72,2025-06-07,9,Providencia,Residencial,20.6612,-103.389,56.7,52,26,47.9,Sin incidencias
73,2025-07-03,5,Americana,Mixta,20.6666,-103.381,30,31,21,46.7,Sin incidencias
74,2025-03-24,18,Chapalita,Residencial,20.658,-103.402,75.7,36,23.1,56,Mercado cercano
75,2025-02-22,22,Chapalita,Residencial,20.658,-103.402,47.4,30,25.2,62,Mercado cercano
76,2025-04-30,16,Providencia,Residencial,20.6612,-103.389,61.4,44,30.2,68.2,Muchos camiones
77,2025-07-10,21,Tlaquepaque Centro,Comercial,20.642,-103.312,77.6,65,21.2,59,Sin incidencias
78,2025-02-25,20,Americana,Mixta,20.6666,-103.381,77,57,23.5,43.3,Zona tranquila
79,2025-03-07,1,Providencia,Residencial,20.6612,-103.389,30,17,18.2,68.4,Zona ruidosa
80,2025-07-18,22,Providencia,Residencial,20.6612,-103.389,62.1,34,22.3,52.4,Poco tráfico
81,2025-05-23,18,Zona Industrial,Industrial,20.645,-103.32,110,59,25.8,61.3,Sin incidencias
82,2025-03-02,18,Zona Industrial,Industrial,20.645,-103.32,92.2,62,26,81.7,Mucho ruido
83,2025-06-20,19,Chapalita,Residencial,20.658,-103.402,63.5,38,27.2,63.4,Tráfico intenso
84,2025-07-09,12,Americana,Mixta,20.6666,-103.381,65.5,63,34.2,69.2,Tráfico intenso
85,2025-06-01,0,Americana,Mixta,20.6666,-103.381,32.5,43,17.5,73.4,Muchos camiones
86,2025-05-21,5,Tlaquepaque Centro,Comercial,20.642,-103.312,32.7,34,18,39.5,Poco tráfico
87,2025-07-08,4,Providencia,Residencial,20.6612,-103.389,30,12,19.3,46.3,Música alta
88,2025-04-05,17,Tlaquepaque Centro,Comercial,20.642,-103.312,77.8,68,22.5,58.9,Música alta
89,2025-06-22,6,Zona Industrial,Industrial,20.645,-103.32,75.6,46,27.4,70.2,Poco tráfico
90,2025-04-08,16,Americana,Mixta,20.6666,-103.381,77.5,61,29.8,53.7,Tráfico intenso
91,2025-07-01,14,Americana,Mixta,20.6666,-103.381,74.8,49,30.1,67.6,Mercado cercano
92,2025-06-02,4,Americana,Mixta,20.6666,-103.381,32.9,32,16.5,47.9,Mucho tráfico
93,2025-04-20,4,Americana,Mixta,20.6666,-103.381,30,29,20.8,66.4,Mercado cercano
94,2025-04-26,12,Americana,Mixta,20.6666,-103.381,60.8,53,29.4,68.9,Muchos camiones
95,2025-07-15,7,Centro,Comercial,20.6737,-103.344,98.5,78,24.2,68.1,Mucho tráfico
96,2025-06-16,18,Tlaquepaque Centro,Comercial,20.642,-103.312,96.1,90,24.8,74.3,Mucho ruido
97,2025-03-23,0,Americana,Mixta,20.6666,-103.381,32.9,33,21.3,53.9,Muchos camiones
98,2025-04-15,3,Centro,Comercial,20.6737,-103.344,40.2,38,20.6,59.2,Música alta
99,2025-07-28,23,Chapalita,Residencial,20.658,-103.402,63.5,37,25.8,61.1,Tráfico intenso
100,2025-05-17,17,Tlaquepaque Centro,Comercial,20.642,-103.312,81.9,62,23.3,55.4,Obras en la zona
101,2025-05-09,3,Tlaquepaque Centro,Comercial,20.642,-103.312,44.1,40,18.5,70,Sin incidencias
102,2025-04-15,7,Centro,Comercial,20.6737,-103.344,100.7,93,26.8,58.4,Muchos camiones
103,2025-06-07,23,Zona Industrial,Industrial,20.645,-103.32,74.5,47,24.5,54,Sin incidencias
104,2025-07-24,20,Tlaquepaque Centro,Comercial,20.642,-103.312,82.9,81,23.1,57.7,Poco tráfico
105,2025-02-17,21,Centro,Comercial,20.6737,-103.344,83.1,70,27.2,49.8,Muchos camiones
106,2025-03-18,22,Zona Industrial,Industrial,20.645,-103.32,84.2,63,25.5,89.8,Ruido por construcción
107,2025-03-26,22,Chapalita,Residencial,20.658,-103.402,49.5,16,26,39.7,Sin incidencias
108,2025-07-13,3,Centro,Comercial,20.6737,-103.344,33.8,27,19.1,49.5,Mercado cercano
109,2025-05-21,17,Tlaquepaque Centro,Comercial,20.642,-103.312,97.2,86,21.8,43.7,Obras en la zona
110,2025-05-05,13,Centro,Comercial,20.6737,-103.344,77,60,29.6,62.6,Tráfico intenso
111,2025-04-20,11,Americana,Mixta,20.6666,-103.381,57.8,61,23.8,44.4,Mucho tráfico
112,2025-02-24,10,Chapalita,Residencial,20.658,-103.402,61.6,47,27.8,57.4,Música alta
113,2025-05-24,23,Centro,Comercial,20.6737,-103.344,71,56,23.4,46.4,Tráfico intenso
114,2025-05-18,10,Centro,Comercial,20.6737,-103.344,73.3,64,22.7,62.6,Ruido por construcción
115,2025-06-15,23,Providencia,Residencial,20.6612,-103.389,49.8,24,21.2,70.3,Mucho ruido
116,2025-07-01,16,Americana,Mixta,20.6666,-103.381,78.7,78,28.5,76.6,Mercado cercano
117,2025-07-04,22,Centro,Comercial,20.6737,-103.344,83.1,78,24.1,62.4,Mucho ruido
118,2025-05-13,1,Americana,Mixta,20.6666,-103.381,35.3,27,16.9,44.9,Obras en la zona
119,2025-07-10,9,Centro,Comercial,20.6737,-103.344,101.2,86,27.1,53.7,Zona tranquila
120,2025-06-15,21,Chapalita,Residencial,20.658,-103.402,40.7,26,23,50.1,Mucho tráfico
121,2025-07-05,3,Americana,Mixta,20.6666,-103.381,31.8,25,16.6,63.3,Sin incidencias
122,2025-07-20,5,Americana,Mixta,20.6666,-103.381,35.2,30,16,74.7,Ruido por construcción
123,2025-02-05,9,Americana,Mixta,20.6666,-103.381,92.2,72,25.8,62,Tráfico intenso
124,2025-04-11,18,Americana,Mixta,20.6666,-103.381,87,78,25.9,53.9,Mucho ruido
125,2025-02-16,5,Zona Industrial,Industrial,20.645,-103.32,38.3,1,15.2,62.9,Tráfico intenso
126,2025-02-24,8,Americana,Mixta,20.6666,-103.381,91,90,21.4,57.3,Mercado cercano
127,2025-03-04,23,Americana,Mixta,20.6666,-103.381,71.4,60,25.8,58.3,Zona tranquila
128,2025-02-21,15,Chapalita,Residencial,20.658,-103.402,53.6,32,33.5,70.4,Mercado cercano
129,2025-03-27,12,Tlaquepaque Centro,Comercial,20.642,-103.312,82.6,75,28.4,81.4,Sin incidencias
130,2025-04-16,8,Chapalita,Residencial,20.658,-103.402,62.3,36,20.7,57.2,Mercado cercano
131,2025-07-14,6,Chapalita,Residencial,20.658,-103.402,55.7,28,24.2,53.4,Zona ruidosa
132,2025-04-24,18,Zona Industrial,Industrial,20.645,-103.32,106.3,64,26.7,67.6,Mucho ruido
133,2025-03-11,23,Americana,Mixta,20.6666,-103.381,69.9,52,22.5,57.4,Zona tranquila
134,2025-03-26,9,Chapalita,Residencial,20.658,-103.402,71.1,50,21.6,45.3,Sin incidencias
135,2025-06-17,17,Zona Industrial,Industrial,20.645,-103.32,110.6,68,26.8,44.7,Muchos camiones
136,2025-03-20,23,Americana,Mixta,20.6666,-103.381,71.3,57,23.1,46.5,Zona ruidosa
137,2025-04-18,23,Americana,Mixta,20.6666,-103.381,69.1,67,22.8,73.3,Poco tráfico
138,2025-04-24,7,Chapalita,Residencial,20.658,-103.402,70.5,34,24,63.2,Obras en la zona
139,2025-05-22,15,Chapalita,Residencial,20.658,-103.402,54,23,29.6,58.3,Obras en la zona
140,2025-03-11,14,Tlaquepaque Centro,Comercial,20.642,-103.312,75.6,63,30.9,72.1,Mercado cercano
141,2025-02-01,17,Centro,Comercial,20.6737,-103.344,88.1,77,26.4,59.2,Obras en la zona
142,2025-07-18,16,Centro,Comercial,20.6737,-103.344,85.8,65,28.2,73.7,Ruido por construcción
143,2025-03-02,15,Americana,Mixta,20.6666,-103.381,63.5,58,26.7,55.5,Mucho ruido
144,2025-05-05,4,Centro,Comercial,20.6737,-103.344,42.4,26,20.5,57.9,Zona ruidosa
145,2025-02-16,22,Tlaquepaque Centro,Comercial,20.642,-103.312,68.5,60,28.3,80.1,Zona tranquila
146,2025-04-29,2,Centro,Comercial,20.6737,-103.344,44.2,41,17.3,41.1,Sin incidencias
147,2025-03-26,5,Americana,Mixta,20.6666,-103.381,36.8,20,19.9,64.1,Tráfico intenso
148,2025-07-26,23,Americana,Mixta,20.6666,-103.381,58.5,36,23.9,59.2,Sin incidencias
149,2025-02-20,18,Americana,Mixta,20.6666,-103.381,93.5,91,21.7,62.3,Poco tráfico
150,2025-05-15,10,Tlaquepaque Centro,Comercial,20.642,-103.312,80.5,63,23.9,69,Sin incidencias
151,2025-05-04,10,Providencia,Residencial,20.6612,-103.389,47.2,31,26,69,Poco tráfico
152,2025-07-14,11,Providencia,Residencial,20.6612,-103.389,61.7,48,25.7,60.9,Obras en la zona
153,2025-03-24,0,Chapalita,Residencial,20.658,-103.402,32.4,22,18.8,75.2,Obras en la zona
154,2025-05-19,7,Providencia,Residencial,20.6612,-103.389,74.7,48,24.3,53.8,Música alta
155,2025-02-22,6,Centro,Residencial,20.658,-103.402,44.1,14,24.9,63.2,Zona tranquila
156,2025-07-27,14,Americana,Mixta,20.6666,-103.381,60.6,49,30.3,54.5,Sin incidencias
157,2025-03-14,4,Providencia,Residencial,20.6612,-103.389,35.4,22,17.1,42.2,Tráfico intenso
158,2025-03-31,2,Zona Industrial,Industrial,20.645,-103.32,42,36,19.6,60.2,Obras en la zona
159,2025-04-25,6,Americana,Mixta,20.6666,-103.381,120,70,24.8,68.2,Zona tranquila
160,2025-02-11,12,Centro,Comercial,20.6737,-103.344,80,75,34.2,60.2,Zona ruidosa
161,2025-06-01,19,Americana,Mixta,20.6666,-103.381,73.8,61,24.5,45.4,Tráfico intenso
162,2025-06-16,8,Centro,Comercial,20.6737,-103.344,114.3,100,24.4,55.4,Sin incidencias
163,2025-03-18,20,Providencia,Residencial,20.6612,-103.389,61.4,42,26.7,61.4,Música alta
164,2025-04-26,11,Tlaquepaque Centro,Comercial,20.642,-103.312,72.9,76,21.5,71,Tráfico intenso
165,2025-05-20,13,Chapalita,Residencial,20.658,-103.402,56,32,31.9,45.2,Ruido por construcción
166,2025-05-18,6,Americana,Mixta,20.6666,-103.381,65,50,21.6,79.3,Zona tranquila
167,2025-04-18,8,Providencia,Residencial,20.6612,-103.389,87.3,63,26.1,44.3,Mucho tráfico
168,2025-07-24,22,Tlaquepaque Centro,Comercial,20.642,-103.312,79.4,76,25,52.5,Mucho ruido
169,2025-07-22,3,Zona Industrial,Industrial,20.645,-103.32,48.3,30,19,58,Mucho ruido
170,2025-07-10,18,Chapalita,Residencial,20.658,-103.402,71.3,29,20.5,66.1,Tráfico intenso
171,2025-03-08,8,Chapalita,Residencial,20.658,-103.402,63.2,21,21.7,61.5,Mucho ruido
172,2025-07-23,1,Centro,Comercial,20.6737,-103.344,52.1,41,21.9,30,Mucho tráfico
173,2025-06-22,23,Americana,Mixta,20.6666,-103.381,62.5,51,24,66.8,Mucho tráfico
174,2025-02-16,16,Zona Industrial,Industrial,20.645,-103.32,76.3,53,26.7,58,Mucho tráfico
175,2025-06-05,11,Providencia,Residencial,20.6612,-103.389,61.4,45,23.6,56.4,Obras en la zona
176,2025-03-05,13,Zona Industrial,Industrial,20.645,-103.32,92.2,49,29.3,63.2,Muchos camiones
177,2025-03-12,9,Chapalita,Residencial,20.658,-103.402,72.4,29,27.7,81.4,Zona ruidosa
178,2025-07-18,6,Zona Industrial,Industrial,20.645,-103.32,91.6,70,24,69.5,Zona ruidosa
179,2025-02-10,15,Chapalita,Residencial,20.658,-103.402,56.3,37,33.8,56.9,Poco tráfico
180,2025-06-05,1,Centro,Comercial,20.6737,-103.344,46.5,55,18.7,57.9,Obras en la zona
181,2025-02-09,9,Providencia,Residencial,20.6612,-103.389,60.3,48,21.7,59.9,Zona tranquila
182,2025-02-07,18,Providencia,Residencial,20.6612,-103.389,79.9,49,24.6,45.3,Música alta
183,2025-06-15,1,Chapalita,Residencial,20.658,-103.402,30,17,17.1,61.4,Mercado cercano
184,2025-04-02,20,Tlaquepaque Centro,Comercial,20.642,-103.312,79.2,69,25.5,53,Poco tráfico
185,2025-07-02,7,Centro,Comercial,20.6737,-103.344,109.8,77,24.4,56.3,Tráfico intenso
186,2025-04-04,0,Chapalita,Residencial,20.658,-103.402,30,24,17.4,66,Mercado cercano
187,2025-03-26,0,Centro,Comercial,20.6737,-103.344,37,31,21.8,61.2,Sin incidencias
188,2025-07-01,14,Centro,Comercial,20.6737,-103.344,78.8,70,27.7,54.5,Mercado cercano
189,2025-02-26,23,Tlaquepaque Centro,Comercial,20.642,-103.312,78.3,71,21.5,68.2,Música alta
190,2025-03-05,17,Zona Industrial,Industrial,20.645,-103.32,106.7,69,23.8,65.8,Tráfico intenso
191,2025-07-07,23,Americana,Mixta,20.6666,-103.381,72.8,66,23.4,64.5,Mercado cercano
192,2025-05-26,2,Providencia,Residencial,20.6612,-103.389,30,18,15.7,73.5,Obras en la zona
193,2025-02-10,15,Tlaquepaque Centro,Comercial,20.642,-103.312,75.4,52,31.5,54.1,Sin incidencias
194,2025-03-25,3,Providencia,Residencial,20.6612,-103.389,31.9,24,16.6,41.9,Obras en la zona
195,2025-03-26,6,Centro,Comercial,20.6737,-103.344,79.6,66,23.6,66.7,Zona ruidosa
196,2025-05-18,1,Tlaquepaque Centro,Comercial,20.642,-103.312,31.8,33,16.4,77.6,Muchos camiones
197,2025-02-11,13,Chapalita,Residencial,20.658,-103.402,51.7,30,31.3,65.7,Poco tráfico
198,2025-02-25,3,Chapalita,Residencial,20.658,-103.402,30,14,20,56.5,Mercado cercano
199,2025-03-24,16,Chapalita,Residencial,20.658,-103.402,52.6,40,30.3,71.2,Mucho tráfico
200,2025-02-26,18,Americana,Mixta,20.6666,-103.381,88.9,81,25.7,44.2,Zona ruidosa
201,2025-06-15,22,Americana,Mixta,20.6666,-103.381,59,54,22.9,69.3,Poco tráfico
202,2025-07-03,7,Centro,Comercial,20.6737,-103.344,101.6,96,23.3,65.5,Zona ruidosa
203,2025-05-01,18,Centro,Comercial,20.6737,-103.344,103.1,100,24.8,54.3,Poco tráfico
204,2025-07-10,6,Tlaquepaque Centro,Comercial,20.642,-103.312,79.4,76,25.2,63.7,Zona ruidosa
205,2025-07-02,11,Zona Industrial,Industrial,20.645,-103.32,92.5,43,20.9,55.9,Zona ruidosa
206,2025-03-29,1,Chapalita,Residencial,20.658,-103.402,30,22,20.3,75.3,Tráfico intenso
207,2025-05-16,17,Providencia,Residencial,20.6612,-103.389,78.6,59,22.8,68.5,Música alta
208,2025-05-12,15,Tlaquepaque Centro,Comercial,20.642,-103.312,75.2,65,29.5,64.4,Mercado cercano
209,2025-02-23,22,Centro,Comercial,20.6737,-103.344,69.9,61,24,91.4,Sin incidencias
210,2025-02-14,16,Chapalita,Residencial,20.658,-103.402,47.3,39,27.5,69.3,Mercado cercano
211,2025-05-21,10,Zona Industrial,Industrial,20.645,-103.32,85.9,60,25.5,57.1,Zona ruidosa
212,2025-06-14,1,Centro,Comercial,20.6737,-103.344,40.5,40,17.6,60.4,Zona tranquila
213,2025-05-02,13,Centro,Residencial,20.6612,-103.389,63.5,41,30.1,65.9,Mucho tráfico
214,2025-06-09,16,Tlaquepaque Centro,Comercial,20.642,-103.312,77.4,59,29.2,59.6,Sin incidencias
215,2025-05-17,21,Chapalita,Residencial,20.658,-103.402,44.5,20,25,47.9,Ruido por construcción
216,2025-05-24,12,Americana,Mixta,20.6666,-103.381,58.9,48,30.8,70.3,Zona ruidosa
217,2025-04-22,21,Americana,Mixta,20.6666,-103.381,70.5,49,26,64.7,Poco tráfico
218,2025-03-01,22,Tlaquepaque Centro,Comercial,20.642,-103.312,62.7,50,22.7,64.6,Mucho ruido
219,2025-02-26,8,Chapalita,Residencial,20.658,-103.402,67.8,43,26.6,59.2,Mercado cercano
220,2025-02-27,14,Centro,Comercial,20.6737,-103.344,68.35,76,30.1,43,Tráfico intenso
221,2025-02-07,2,Tlaquepaque Centro,Comercial,20.642,-103.312,42.8,38,15,53.9,Muchos camiones
222,2025-07-04,23,Chapalita,Residencial,20.658,-103.402,65.5,42,22.6,51.7,Obras en la zona
223,2025-03-13,5,Americana,Mixta,20.6666,-103.381,39.1,25,19.1,74.8,Zona ruidosa
224,2025-06-14,9,Zona Industrial,Industrial,20.645,-103.32,97.7,65,21.8,68.2,Obras en la zona
225,2025-07-09,11,Americana,Mixta,20.6666,-103.381,74.4,66,20.3,85.4,Poco tráfico
226,2025-05-04,14,Americana,Mixta,20.6666,-103.381,60.6,37,29.5,62.9,Zona tranquila
227,2025-06-25,8,Zona Industrial,Industrial,20.645,-103.32,115,76,25,54.2,Mercado cercano
228,2025-07-15,14,Americana,Mixta,20.6666,-103.381,70.7,59,31.9,65.2,Música alta
229,2025-03-29,3,Chapalita,Residencial,20.658,-103.402,30.7,13,14.9,68.5,Zona tranquila
230,2025-06-28,8,Centro,Comercial,20.6737,-103.344,86.5,82,25.3,57.1,Zona ruidosa
231,2025-07-13,4,Tlaquepaque Centro,Comercial,20.642,-103.312,32.7,30,16.9,59.9,Zona ruidosa
232,2025-07-11,13,Providencia,Residencial,20.6612,-103.389,59.3,40,28.2,60.2,Poco tráfico
233,2025-04-07,16,Tlaquepaque Centro,Comercial,20.642,-103.312,77.5,70,28.9,52.5,Zona tranquila
234,2025-02-04,1,Providencia,Residencial,20.6612,-103.389,36.1,12,17.7,42.9,Poco tráfico
235,2025-04-15,18,Tlaquepaque Centro,Comercial,20.642,-103.312,94.5,80,24,53.6,Tráfico intenso
236,2025-06-13,4,Americana,Mixta,20.6666,-103.381,39.2,37,17.7,52.6,Zona ruidosa
237,2025-05-28,23,Tlaquepaque Centro,Comercial,20.642,-103.312,71.6,68,22.3,51,Sin incidencias
238,2025-02-25,10,Providencia,Residencial,20.6612,-103.389,57.1,54,24.5,67.8,Mucho ruido
239,2025-06-16,0,Tlaquepaque Centro,Comercial,20.642,-103.312,43.6,44,18.5,47.3,Mercado cercano
240,2025-03-27,6,Zona Industrial,Industrial,20.645,-103.32,85,59,24.4,78.2,Sin incidencias
241,2025-04-26,14,Centro,Comercial,20.6737,-103.344,68.1,57,29.4,60.2,Música alta
242,2025-03-17,4,Tlaquepaque Centro,Comercial,20.642,-103.312,35.8,36,18.3,45.9,Ruido por construcción
243,2025-06-26,22,Chapalita,Residencial,20.658,-103.402,52,29,21,52.3,Mucho tráfico
244,2025-07-20,10,Providencia,Residencial,20.6612,-103.389,48,45,22.6,76.9,Mercado cercano
245,2025-07-09,15,Providencia,Residencial,20.6612,-103.389,62,60,26.9,64.6,Tráfico intenso
246,2025-06-14,9,Tlaquepaque Centro,Comercial,20.642,-103.312,87.8,84,22.2,65,Muchos camiones
247,2025-05-16,1,Tlaquepaque Centro,Comercial,20.642,-103.312,36.1,22,17.3,41.5,Sin incidencias
248,2025-07-26,5,Americana,Mixta,20.6666,-103.381,30,26,22,59.5,Música alta
249,2025-06-25,11,Centro,Residencial,20.658,-103.402,51.4,26,24,95,Zona tranquila
250,2025-07-23,18,Chapalita,Residencial,20.658,-103.402,58.8,38,23.6,58.1,Zona ruidosa
251,2025-03-25,11,Centro,Comercial,20.6737,-103.344,77.6,73,22.8,46.9,Mucho ruido
252,2025-05-15,2,Americana,Mixta,20.6666,-103.381,37.9,31,16.4,62.6,Mucho tráfico
253,2025-03-25,7,Chapalita,Residencial,20.658,-103.402,68.9,52,23.1,63,Mucho tráfico
254,2025-04-04,22,Tlaquepaque Centro,Comercial,20.642,-103.312,74.9,80,26.3,50.3,Muchos camiones
255,2025-05-04,12,Centro,Comercial,20.6737,-103.344,71.9,64,32.3,63,Poco tráfico
256,2025-06-25,15,Tlaquepaque Centro,Comercial,20.642,-103.312,73.1,74,29.4,56,Mucho ruido
257,2025-02-02,1,Centro,Comercial,20.6737,-103.344,30,25,18.2,82.3,Sin incidencias
258,2025-07-27,12,Americana,Mixta,20.6666,-103.381,62.6,50,30.5,44.5,Zona tranquila
259,2025-06-10,12,Providencia,Residencial,20.6612,-103.389,53.2,47,29.2,64.1,Ruido por construcción
260,2025-06-21,20,Tlaquepaque Centro,Comercial,20.642,-103.312,70.9,75,23.7,46.9,Zona ruidosa
261,2025-02-24,5,Zona Industrial,Industrial,20.645,-103.32,46.4,35,18,44.8,Zona tranquila
